Step	Forager	Beta	Category	Need	Value
0	0	2.5	EAT	eatpro	['specie_711']
0	0	2.5	EAT	eatfat	['specie_711']
0	0	2.5	EAT	eatcarb	['specie_711']
0	0	2.5	ILLNESS	treatpain	['specie_711']
0	0	2.5	ILLNESS	treatwound	['specie_711']
0	0	2.5	ILLNESS	treatfever	['specie_711']
0	0	2.5	SHELTER	needclothes	['specie_711']
0	0	2.5	SHELTER	needshoes	['specie_711']
0	0	2.5	SHELTER	needwood	['specie_711']
0	0	2.5	TOOLS	needbasket	['specie_711']
0	0	2.5	TOOLS	needaxe	['specie_711']
0	0	2.5	TOOLS	needarrow	['specie_711']
0	1	2.5	EAT	eatpro	['specie_271']
0	1	2.5	EAT	eatfat	['specie_271']
0	1	2.5	EAT	eatcarb	['specie_271']
0	1	2.5	ILLNESS	treatpain	['specie_271']
0	1	2.5	ILLNESS	treatwound	['specie_271']
0	1	2.5	ILLNESS	treatfever	['specie_271']
0	1	2.5	SHELTER	needclothes	['specie_271']
0	1	2.5	SHELTER	needshoes	['specie_271']
0	1	2.5	SHELTER	needwood	['specie_271']
0	1	2.5	TOOLS	needbasket	['specie_271']
0	1	2.5	TOOLS	needaxe	['specie_271']
0	1	2.5	TOOLS	needarrow	['specie_271']
0	2	2.5	EAT	eatpro	['specie_457']
0	2	2.5	EAT	eatfat	['specie_457']
0	2	2.5	EAT	eatcarb	['specie_457']
0	2	2.5	ILLNESS	treatpain	['specie_457']
0	2	2.5	ILLNESS	treatwound	['specie_457']
0	2	2.5	ILLNESS	treatfever	['specie_457']
0	2	2.5	SHELTER	needclothes	['specie_457']
0	2	2.5	SHELTER	needshoes	['specie_457']
0	2	2.5	SHELTER	needwood	['specie_457']
0	2	2.5	TOOLS	needbasket	['specie_457']
0	2	2.5	TOOLS	needaxe	['specie_457']
0	2	2.5	TOOLS	needarrow	['specie_457']
0	3	2.5	EAT	eatpro	['specie_230']
0	3	2.5	EAT	eatfat	['specie_230']
0	3	2.5	EAT	eatcarb	['specie_230']
0	3	2.5	ILLNESS	treatpain	['specie_230']
0	3	2.5	ILLNESS	treatwound	['specie_230']
0	3	2.5	ILLNESS	treatfever	['specie_230']
0	3	2.5	SHELTER	needclothes	['specie_230']
0	3	2.5	SHELTER	needshoes	['specie_230']
0	3	2.5	SHELTER	needwood	['specie_230']
0	3	2.5	TOOLS	needbasket	['specie_230']
0	3	2.5	TOOLS	needaxe	['specie_230']
0	3	2.5	TOOLS	needarrow	['specie_230']
0	4	2.5	EAT	eatpro	['specie_1096']
0	4	2.5	EAT	eatfat	['specie_1096']
0	4	2.5	EAT	eatcarb	['specie_1096']
0	4	2.5	ILLNESS	treatpain	['specie_1096']
0	4	2.5	ILLNESS	treatwound	['specie_1096']
0	4	2.5	ILLNESS	treatfever	['specie_1096']
0	4	2.5	SHELTER	needclothes	['specie_1096']
0	4	2.5	SHELTER	needshoes	['specie_1096']
0	4	2.5	SHELTER	needwood	['specie_1096']
0	4	2.5	TOOLS	needbasket	['specie_1096']
0	4	2.5	TOOLS	needaxe	['specie_1096']
0	4	2.5	TOOLS	needarrow	['specie_1096']
0	5	2.5	EAT	eatpro	['specie_452']
0	5	2.5	EAT	eatfat	['specie_452']
0	5	2.5	EAT	eatcarb	['specie_452']
0	5	2.5	ILLNESS	treatpain	['specie_452']
0	5	2.5	ILLNESS	treatwound	['specie_452']
0	5	2.5	ILLNESS	treatfever	['specie_452']
0	5	2.5	SHELTER	needclothes	['specie_452']
0	5	2.5	SHELTER	needshoes	['specie_452']
0	5	2.5	SHELTER	needwood	['specie_452']
0	5	2.5	TOOLS	needbasket	['specie_452']
0	5	2.5	TOOLS	needaxe	['specie_452']
0	5	2.5	TOOLS	needarrow	['specie_452']
0	6	2.5	EAT	eatpro	['specie_136']
0	6	2.5	EAT	eatfat	['specie_136']
0	6	2.5	EAT	eatcarb	['specie_136']
0	6	2.5	ILLNESS	treatpain	['specie_136']
0	6	2.5	ILLNESS	treatwound	['specie_136']
0	6	2.5	ILLNESS	treatfever	['specie_136']
0	6	2.5	SHELTER	needclothes	['specie_136']
0	6	2.5	SHELTER	needshoes	['specie_136']
0	6	2.5	SHELTER	needwood	['specie_136']
0	6	2.5	TOOLS	needbasket	['specie_136']
0	6	2.5	TOOLS	needaxe	['specie_136']
0	6	2.5	TOOLS	needarrow	['specie_136']
0	7	2.5	EAT	eatpro	['specie_1148']
0	7	2.5	EAT	eatfat	['specie_1148']
0	7	2.5	EAT	eatcarb	['specie_1148']
0	7	2.5	ILLNESS	treatpain	['specie_1148']
0	7	2.5	ILLNESS	treatwound	['specie_1148']
0	7	2.5	ILLNESS	treatfever	['specie_1148']
0	7	2.5	SHELTER	needclothes	['specie_1148']
0	7	2.5	SHELTER	needshoes	['specie_1148']
0	7	2.5	SHELTER	needwood	['specie_1148']
0	7	2.5	TOOLS	needbasket	['specie_1148']
0	7	2.5	TOOLS	needaxe	['specie_1148']
0	7	2.5	TOOLS	needarrow	['specie_1148']
0	8	2.5	EAT	eatpro	['specie_110']
0	8	2.5	EAT	eatfat	['specie_110']
0	8	2.5	EAT	eatcarb	['specie_110']
0	8	2.5	ILLNESS	treatpain	['specie_110']
0	8	2.5	ILLNESS	treatwound	['specie_110']
0	8	2.5	ILLNESS	treatfever	['specie_110']
0	8	2.5	SHELTER	needclothes	['specie_110']
0	8	2.5	SHELTER	needshoes	['specie_110']
0	8	2.5	SHELTER	needwood	['specie_110']
0	8	2.5	TOOLS	needbasket	['specie_110']
0	8	2.5	TOOLS	needaxe	['specie_110']
0	8	2.5	TOOLS	needarrow	['specie_110']
0	9	2.5	EAT	eatpro	['specie_74']
0	9	2.5	EAT	eatfat	['specie_74']
0	9	2.5	EAT	eatcarb	['specie_74']
0	9	2.5	ILLNESS	treatpain	['specie_74']
0	9	2.5	ILLNESS	treatwound	['specie_74']
0	9	2.5	ILLNESS	treatfever	['specie_74']
0	9	2.5	SHELTER	needclothes	['specie_74']
0	9	2.5	SHELTER	needshoes	['specie_74']
0	9	2.5	SHELTER	needwood	['specie_74']
0	9	2.5	TOOLS	needbasket	['specie_74']
0	9	2.5	TOOLS	needaxe	['specie_74']
0	9	2.5	TOOLS	needarrow	['specie_74']
0	10	2.5	EAT	eatpro	['specie_539']
0	10	2.5	EAT	eatfat	['specie_539']
0	10	2.5	EAT	eatcarb	['specie_539']
0	10	2.5	ILLNESS	treatpain	['specie_539']
0	10	2.5	ILLNESS	treatwound	['specie_539']
0	10	2.5	ILLNESS	treatfever	['specie_539']
0	10	2.5	SHELTER	needclothes	['specie_539']
0	10	2.5	SHELTER	needshoes	['specie_539']
0	10	2.5	SHELTER	needwood	['specie_539']
0	10	2.5	TOOLS	needbasket	['specie_539']
0	10	2.5	TOOLS	needaxe	['specie_539']
0	10	2.5	TOOLS	needarrow	['specie_539']
0	11	2.5	EAT	eatpro	['specie_1543']
0	11	2.5	EAT	eatfat	['specie_1543']
0	11	2.5	EAT	eatcarb	['specie_1543']
0	11	2.5	ILLNESS	treatpain	['specie_1543']
0	11	2.5	ILLNESS	treatwound	['specie_1543']
0	11	2.5	ILLNESS	treatfever	['specie_1543']
0	11	2.5	SHELTER	needclothes	['specie_1543']
0	11	2.5	SHELTER	needshoes	['specie_1543']
0	11	2.5	SHELTER	needwood	['specie_1543']
0	11	2.5	TOOLS	needbasket	['specie_1543']
0	11	2.5	TOOLS	needaxe	['specie_1543']
0	11	2.5	TOOLS	needarrow	['specie_1543']
0	12	2.5	EAT	eatpro	['specie_706']
0	12	2.5	EAT	eatfat	['specie_706']
0	12	2.5	EAT	eatcarb	['specie_706']
0	12	2.5	ILLNESS	treatpain	['specie_706']
0	12	2.5	ILLNESS	treatwound	['specie_706']
0	12	2.5	ILLNESS	treatfever	['specie_706']
0	12	2.5	SHELTER	needclothes	['specie_706']
0	12	2.5	SHELTER	needshoes	['specie_706']
0	12	2.5	SHELTER	needwood	['specie_706']
0	12	2.5	TOOLS	needbasket	['specie_706']
0	12	2.5	TOOLS	needaxe	['specie_706']
0	12	2.5	TOOLS	needarrow	['specie_706']
0	13	2.5	EAT	eatpro	['specie_316']
0	13	2.5	EAT	eatfat	['specie_316']
0	13	2.5	EAT	eatcarb	['specie_316']
0	13	2.5	ILLNESS	treatpain	['specie_316']
0	13	2.5	ILLNESS	treatwound	['specie_316']
0	13	2.5	ILLNESS	treatfever	['specie_316']
0	13	2.5	SHELTER	needclothes	['specie_316']
0	13	2.5	SHELTER	needshoes	['specie_316']
0	13	2.5	SHELTER	needwood	['specie_316']
0	13	2.5	TOOLS	needbasket	['specie_316']
0	13	2.5	TOOLS	needaxe	['specie_316']
0	13	2.5	TOOLS	needarrow	['specie_316']
0	14	2.5	EAT	eatpro	['specie_154']
0	14	2.5	EAT	eatfat	['specie_154']
0	14	2.5	EAT	eatcarb	['specie_154']
0	14	2.5	ILLNESS	treatpain	['specie_154']
0	14	2.5	ILLNESS	treatwound	['specie_154']
0	14	2.5	ILLNESS	treatfever	['specie_154']
0	14	2.5	SHELTER	needclothes	['specie_154']
0	14	2.5	SHELTER	needshoes	['specie_154']
0	14	2.5	SHELTER	needwood	['specie_154']
0	14	2.5	TOOLS	needbasket	['specie_154']
0	14	2.5	TOOLS	needaxe	['specie_154']
0	14	2.5	TOOLS	needarrow	['specie_154']
0	15	2.5	EAT	eatpro	['specie_1192']
0	15	2.5	EAT	eatfat	['specie_1192']
0	15	2.5	EAT	eatcarb	['specie_1192']
0	15	2.5	ILLNESS	treatpain	['specie_1192']
0	15	2.5	ILLNESS	treatwound	['specie_1192']
0	15	2.5	ILLNESS	treatfever	['specie_1192']
0	15	2.5	SHELTER	needclothes	['specie_1192']
0	15	2.5	SHELTER	needshoes	['specie_1192']
0	15	2.5	SHELTER	needwood	['specie_1192']
0	15	2.5	TOOLS	needbasket	['specie_1192']
0	15	2.5	TOOLS	needaxe	['specie_1192']
0	15	2.5	TOOLS	needarrow	['specie_1192']
0	16	2.5	EAT	eatpro	['specie_303']
0	16	2.5	EAT	eatfat	['specie_303']
0	16	2.5	EAT	eatcarb	['specie_303']
0	16	2.5	ILLNESS	treatpain	['specie_303']
0	16	2.5	ILLNESS	treatwound	['specie_303']
0	16	2.5	ILLNESS	treatfever	['specie_303']
0	16	2.5	SHELTER	needclothes	['specie_303']
0	16	2.5	SHELTER	needshoes	['specie_303']
0	16	2.5	SHELTER	needwood	['specie_303']
0	16	2.5	TOOLS	needbasket	['specie_303']
0	16	2.5	TOOLS	needaxe	['specie_303']
0	16	2.5	TOOLS	needarrow	['specie_303']
0	17	2.5	EAT	eatpro	['specie_726']
0	17	2.5	EAT	eatfat	['specie_726']
0	17	2.5	EAT	eatcarb	['specie_726']
0	17	2.5	ILLNESS	treatpain	['specie_726']
0	17	2.5	ILLNESS	treatwound	['specie_726']
0	17	2.5	ILLNESS	treatfever	['specie_726']
0	17	2.5	SHELTER	needclothes	['specie_726']
0	17	2.5	SHELTER	needshoes	['specie_726']
0	17	2.5	SHELTER	needwood	['specie_726']
0	17	2.5	TOOLS	needbasket	['specie_726']
0	17	2.5	TOOLS	needaxe	['specie_726']
0	17	2.5	TOOLS	needarrow	['specie_726']
0	18	2.5	EAT	eatpro	['specie_114']
0	18	2.5	EAT	eatfat	['specie_114']
0	18	2.5	EAT	eatcarb	['specie_114']
0	18	2.5	ILLNESS	treatpain	['specie_114']
0	18	2.5	ILLNESS	treatwound	['specie_114']
0	18	2.5	ILLNESS	treatfever	['specie_114']
0	18	2.5	SHELTER	needclothes	['specie_114']
0	18	2.5	SHELTER	needshoes	['specie_114']
0	18	2.5	SHELTER	needwood	['specie_114']
0	18	2.5	TOOLS	needbasket	['specie_114']
0	18	2.5	TOOLS	needaxe	['specie_114']
0	18	2.5	TOOLS	needarrow	['specie_114']
0	19	2.5	EAT	eatpro	['specie_535']
0	19	2.5	EAT	eatfat	['specie_535']
0	19	2.5	EAT	eatcarb	['specie_535']
0	19	2.5	ILLNESS	treatpain	['specie_535']
0	19	2.5	ILLNESS	treatwound	['specie_535']
0	19	2.5	ILLNESS	treatfever	['specie_535']
0	19	2.5	SHELTER	needclothes	['specie_535']
0	19	2.5	SHELTER	needshoes	['specie_535']
0	19	2.5	SHELTER	needwood	['specie_535']
0	19	2.5	TOOLS	needbasket	['specie_535']
0	19	2.5	TOOLS	needaxe	['specie_535']
0	19	2.5	TOOLS	needarrow	['specie_535']
0	20	2.5	EAT	eatpro	['specie_615']
0	20	2.5	EAT	eatfat	['specie_615']
0	20	2.5	EAT	eatcarb	['specie_615']
0	20	2.5	ILLNESS	treatpain	['specie_615']
0	20	2.5	ILLNESS	treatwound	['specie_615']
0	20	2.5	ILLNESS	treatfever	['specie_615']
0	20	2.5	SHELTER	needclothes	['specie_615']
0	20	2.5	SHELTER	needshoes	['specie_615']
0	20	2.5	SHELTER	needwood	['specie_615']
0	20	2.5	TOOLS	needbasket	['specie_615']
0	20	2.5	TOOLS	needaxe	['specie_615']
0	20	2.5	TOOLS	needarrow	['specie_615']
0	21	2.5	EAT	eatpro	['specie_727']
0	21	2.5	EAT	eatfat	['specie_727']
0	21	2.5	EAT	eatcarb	['specie_727']
0	21	2.5	ILLNESS	treatpain	['specie_727']
0	21	2.5	ILLNESS	treatwound	['specie_727']
0	21	2.5	ILLNESS	treatfever	['specie_727']
0	21	2.5	SHELTER	needclothes	['specie_727']
0	21	2.5	SHELTER	needshoes	['specie_727']
0	21	2.5	SHELTER	needwood	['specie_727']
0	21	2.5	TOOLS	needbasket	['specie_727']
0	21	2.5	TOOLS	needaxe	['specie_727']
0	21	2.5	TOOLS	needarrow	['specie_727']
0	22	2.5	EAT	eatpro	['specie_1104']
0	22	2.5	EAT	eatfat	['specie_1104']
0	22	2.5	EAT	eatcarb	['specie_1104']
0	22	2.5	ILLNESS	treatpain	['specie_1104']
0	22	2.5	ILLNESS	treatwound	['specie_1104']
0	22	2.5	ILLNESS	treatfever	['specie_1104']
0	22	2.5	SHELTER	needclothes	['specie_1104']
0	22	2.5	SHELTER	needshoes	['specie_1104']
0	22	2.5	SHELTER	needwood	['specie_1104']
0	22	2.5	TOOLS	needbasket	['specie_1104']
0	22	2.5	TOOLS	needaxe	['specie_1104']
0	22	2.5	TOOLS	needarrow	['specie_1104']
0	23	2.5	EAT	eatpro	['specie_1264']
0	23	2.5	EAT	eatfat	['specie_1264']
0	23	2.5	EAT	eatcarb	['specie_1264']
0	23	2.5	ILLNESS	treatpain	['specie_1264']
0	23	2.5	ILLNESS	treatwound	['specie_1264']
0	23	2.5	ILLNESS	treatfever	['specie_1264']
0	23	2.5	SHELTER	needclothes	['specie_1264']
0	23	2.5	SHELTER	needshoes	['specie_1264']
0	23	2.5	SHELTER	needwood	['specie_1264']
0	23	2.5	TOOLS	needbasket	['specie_1264']
0	23	2.5	TOOLS	needaxe	['specie_1264']
0	23	2.5	TOOLS	needarrow	['specie_1264']
0	24	2.5	EAT	eatpro	['specie_555']
0	24	2.5	EAT	eatfat	['specie_555']
0	24	2.5	EAT	eatcarb	['specie_555']
0	24	2.5	ILLNESS	treatpain	['specie_555']
0	24	2.5	ILLNESS	treatwound	['specie_555']
0	24	2.5	ILLNESS	treatfever	['specie_555']
0	24	2.5	SHELTER	needclothes	['specie_555']
0	24	2.5	SHELTER	needshoes	['specie_555']
0	24	2.5	SHELTER	needwood	['specie_555']
0	24	2.5	TOOLS	needbasket	['specie_555']
0	24	2.5	TOOLS	needaxe	['specie_555']
