Step,Forager,Beta,Category,Need,Value
0,0,2.5,EAT,eatpro,['specie_205']
0,0,2.5,EAT,eatfat,['specie_205']
0,0,2.5,EAT,eatcarb,['specie_205']
0,0,2.5,ILLNESS,treatpain,['specie_205']
0,0,2.5,ILLNESS,treatwound,['specie_205']
0,0,2.5,ILLNESS,treatfever,['specie_205']
0,0,2.5,SHELTER,needclothes,['specie_205']
0,0,2.5,SHELTER,needshoes,['specie_205']
0,0,2.5,SHELTER,needwood,['specie_205']
0,0,2.5,TOOLS,needbasket,['specie_205']
0,0,2.5,TOOLS,needaxe,['specie_205']
0,0,2.5,TOOLS,needarrow,['specie_205']
0,1,2.5,EAT,eatpro,['specie_529']
0,1,2.5,EAT,eatfat,['specie_529']
0,1,2.5,EAT,eatcarb,['specie_529']
0,1,2.5,ILLNESS,treatpain,['specie_529']
0,1,2.5,ILLNESS,treatwound,['specie_529']
0,1,2.5,ILLNESS,treatfever,['specie_529']
0,1,2.5,SHELTER,needclothes,['specie_529']
0,1,2.5,SHELTER,needshoes,['specie_529']
0,1,2.5,SHELTER,needwood,['specie_529']
0,1,2.5,TOOLS,needbasket,['specie_529']
0,1,2.5,TOOLS,needaxe,['specie_529']
0,1,2.5,TOOLS,needarrow,['specie_529']
0,2,2.5,EAT,eatpro,['specie_594']
0,2,2.5,EAT,eatfat,['specie_594']
0,2,2.5,EAT,eatcarb,['specie_594']
0,2,2.5,ILLNESS,treatpain,['specie_594']
0,2,2.5,ILLNESS,treatwound,['specie_594']
0,2,2.5,ILLNESS,treatfever,['specie_594']
0,2,2.5,SHELTER,needclothes,['specie_594']
0,2,2.5,SHELTER,needshoes,['specie_594']
0,2,2.5,SHELTER,needwood,['specie_594']
0,2,2.5,TOOLS,needbasket,['specie_594']
0,2,2.5,TOOLS,needaxe,['specie_594']
0,2,2.5,TOOLS,needarrow,['specie_594']
0,3,2.5,EAT,eatpro,['specie_63']
0,3,2.5,EAT,eatfat,['specie_63']
0,3,2.5,EAT,eatcarb,['specie_63']
0,3,2.5,ILLNESS,treatpain,['specie_63']
0,3,2.5,ILLNESS,treatwound,['specie_63']
0,3,2.5,ILLNESS,treatfever,['specie_63']
0,3,2.5,SHELTER,needclothes,['specie_63']
0,3,2.5,SHELTER,needshoes,['specie_63']
0,3,2.5,SHELTER,needwood,['specie_63']
0,3,2.5,TOOLS,needbasket,['specie_63']
0,3,2.5,TOOLS,needaxe,['specie_63']
0,3,2.5,TOOLS,needarrow,['specie_63']
0,4,2.5,EAT,eatpro,['specie_1427']
0,4,2.5,EAT,eatfat,['specie_1427']
0,4,2.5,EAT,eatcarb,['specie_1427']
0,4,2.5,ILLNESS,treatpain,['specie_1427']
0,4,2.5,ILLNESS,treatwound,['specie_1427']
0,4,2.5,ILLNESS,treatfever,['specie_1427']
0,4,2.5,SHELTER,needclothes,['specie_1427']
0,4,2.5,SHELTER,needshoes,['specie_1427']
0,4,2.5,SHELTER,needwood,['specie_1427']
0,4,2.5,TOOLS,needbasket,['specie_1427']
0,4,2.5,TOOLS,needaxe,['specie_1427']
0,4,2.5,TOOLS,needarrow,['specie_1427']
0,5,2.5,EAT,eatpro,['specie_1509']
0,5,2.5,EAT,eatfat,['specie_1509']
0,5,2.5,EAT,eatcarb,['specie_1509']
0,5,2.5,ILLNESS,treatpain,['specie_1509']
0,5,2.5,ILLNESS,treatwound,['specie_1509']
